nama_lengkap,nim,email,id_prodi,angkatan,ipk_terakhir,tempat_lahir,tanggal_lahir,nama_orang_tua,nip_orang_tua,pangkat_orang_tua,instansi_orang_tua
Citra Gunawan,72220023,72220023@students.ukdw.ac.id,72,2022,3.45
Dedi Sartika,81240024,81240024@students.ukdw.ac.id,81,2024,3.70
Erna Purnomo,50230025,50230025@students.ukdw.ac.id,50,2023,3.55
Fajar Cahyani,57220026,57220026@students.ukdw.ac.id,57,2022,3.80
Gita Suryanto,01240027,01240027@students.ukdw.ac.id,01,2024,3.35
Hendra Kartini,11230028,11230028@students.ukdw.ac.id,11,2023,3.90
Ika Hakim,12220029,12220029@students.ukdw.ac.id,12,2022,3.25
Joko Pertiwi,13240030,13240030@students.ukdw.ac.id,13,2024,3.60
Kartika Ramadhan,31230031,31230031@students.ukdw.ac.id,31,2023,3.75
Lina Safira,41220032,41220032@students.ukdw.ac.id,41,2022,3.40
Mira Budiman,61240033,61240033@students.ukdw.ac.id,61,2024,3.85
Nanda Ayu,62230034,62230034@students.ukdw.ac.id,62,2023,3.50
Oki Irawan,71220035,71220035@students.ukdw.ac.id,71,2022,3.65
Prita Dewi,72240036,72240036@students.ukdw.ac.id,72,2024,3.30
Qiqi Saputra,81230037,81230037@students.ukdw.ac.id,81,2023,3.95
Rudi Fitri,50220038,50220038@students.ukdw.ac.id,50,2022,3.45
Sari Maulana,57240039,57240039@students.ukdw.ac.id,57,2024,3.70
Toni Sinta,01230040,01230040@students.ukdw.ac.id,01,2023,3.55
Udin Pratama,11220041,11220041@students.ukdw.ac.id,11,2022,3.80
Vina Sari,12240042,12240042@students.ukdw.ac.id,12,2024,3.35
Wati Wijaya,13230043,13230043@students.ukdw.ac.id,13,2023,3.90
Xena Putri,31220044,31220044@students.ukdw.ac.id,31,2022,3.25
Yudi Santoso,41240045,41240045@students.ukdw.ac.id,41,2024,3.60
Zara Lestari,61230046,61230046@students.ukdw.ac.id,61,2023,3.75
Agus Setiawan,62220047,62220047@students.ukdw.ac.id,62,2022,3.40
Bayu Indah,71240048,71240048@students.ukdw.ac.id,71,2024,3.85
